section,column
aquifers,Por
aquifers,WP
aquifers,FC
aquifers,Ksat
aquifers,Kslope
aquifers,Tslope
aquifers,ETu
aquifers,ETs
aquifers,Seep
aquifers,Ebot
aquifers,Egw
aquifers,Umc
aquifers,ETupat
buildup,LandUse
buildup,Pollutant
buildup,Function
buildup,Coeff1
buildup,Coeff2
buildup,Coeff3
buildup,Per_Unit
conduits,Name
conduits,From Node
conduits,To Node
conduits,Length
conduits,Roughness
conduits,InOffset
conduits,OutOffset
conduits,InitFlow
conduits,MaxFlow
conduit_surcharge_summary,Conduit
conduit_surcharge_summary,Hours_Full_Both_Ends
conduit_surcharge_summary,Hours_Full_Upstream
conduit_surcharge_summary,Hours_Full_Dnstream
conduit_surcharge_summary,Hours_Above_Full_Normal_Flow
conduit_surcharge_summary,Hours_Capacity_Limited
coverages,Subcatchment
coverages,Land Use
coverages,Percent
cross_section_summary,Conduit
cross_section_summary,Shape
cross_section_summary,Full_Depth
cross_section_summary,Full_Area
cross_section_summary,Hyd_Rad
cross_section_summary,Max_Width
cross_section_summary,No_of_Barrels
cross_section_summary,Full_Flow
curves,Type
curves,X-Value
curves,Y-Value
dividers,Name
dividers,Elevation
dividers,Diverted Link
dividers,Type
dividers,Parameters
dwf,Node
dwf,Constituent
dwf,Baseline
dwf,Patterns
evaporation,Data Source
evaporation,Parameters
events,Start Date
events,End Date
flow_classification_summary,Conduit
flow_classification_summary,Adjusted_Actual_Length
flow_classification_summary,Dry
flow_classification_summary,Up_Dry
flow_classification_summary,Down_Dry
flow_classification_summary,Sub_Crit
flow_classification_summary,Sup_Crit
flow_classification_summary,Up_Crit
flow_classification_summary,Down_Crit
flow_classification_summary,Norm_Ltd
flow_classification_summary,Inlet_Ctrl
groundwater,Aquifer
groundwater,Node
groundwater,Esurf
groundwater,A1
groundwater,B1
groundwater,A2
groundwater,B2
groundwater,A3
groundwater,Dsw
groundwater,Egwt
groundwater,Ebot
groundwater,Wgr
groundwater,Umc
groundwater_summary,Subcatchment
groundwater_summary,Total_Infil
groundwater_summary,Total_Evap
groundwater_summary,Total_Lower_Seepage
groundwater_summary,Total_Lateral_Outflow
groundwater_summary,Maximum_Lateral_Outflow
groundwater_summary,Average_Upper_Moist
groundwater_summary,Average_Water_Table
groundwater_summary,Final_Upper_Moist
groundwater_summary,Final_Water_Table
hydrographs,Hydrograph
hydrographs,Rain Gage/Month
hydrographs,Response
hydrographs,R
hydrographs,T
hydrographs,K
hydrographs,Dmax
hydrographs,Drecov
hydrographs,Dinit
iiflows,Node
iiflows,Unit Hydrograph
iiflows,Sewer Area
inflows,Constituent
inflows,Time Series
inflows,Type
inflows,Mfactor
inflows,Sfactor
inflows,BaseLine
inflows,Pattern
junctions,Name
junctions,Elevation
junctions,MaxDepth
junctions,InitDepth
junctions,SurDepth
junctions,Aponded
landuses,Sweeping_Interval
landuses,Fraction_Available
landuses,Last_Swept
landuse_summary,Name
landuse_summary,Sweeping_Interval
landuse_summary,Maximum_Removal
landuse_summary,Last_Swept
lid_control_summary,Subcatchment
lid_control_summary,LID_Control
lid_control_summary,No_of_Units
lid_control_summary,Unit_Area
lid_control_summary,Unit_Width
lid_control_summary,Percent_Area_Covered
lid_control_summary,Percent_Imperv_Treated
lid_control_summary,Percent_Treated
lid_performance_summary,Subcatchment
lid_performance_summary,LID Control
lid_performance_summary,Total_Inflow
lid_performance_summary,Evap_Loss
lid_performance_summary,Infil_Loss
lid_performance_summary,Surface_Outflow
lid_performance_summary,Drain_Outflow
lid_performance_summary,Initial_Storage
lid_performance_summary,Final_Storage
lid_performance_summary,Continuity_Error
lid_usage,Subcatchment
lid_usage,LID Process
lid_usage,Number
lid_usage,Area
lid_usage,Width
lid_usage,InitSat
lid_usage,FromImp
lid_usage,ToPerv
lid_usage,RptFile
lid_usage,DrainTo
link_flow_summary,Link
link_flow_summary,Type
link_flow_summary,Maximum_Flow
link_flow_summary,Time_of_Max_Occurance_d
link_flow_summary,Time_of_Max_Occurance_hm
link_flow_summary,Maximum_Veloc
link_flow_summary,Maximum_Full_Flow
