section,org_swmm,shp_abb,int_shp_to_inp
subcatchment,Name,Name,Name
subcatchment,Rain_Gage,RainGag,Rain_Gage
subcatchment,Outlet,Outlet,Outlet
subcatchment,Area,Area,Area
subcatchment,Perc_Imperv,Prc_Imp,PercImperv
subcatchment,Width,Width,Width
subcatchment,Perc_Slope,Prc_Slp,Slope
subcatchment,CurbLen,CurbLen,CurbLen
subcatchment,Snowpack,Snowpck,Snowpack
subarea,N-Imperv,N.Imprv,N_Imperv
subarea,N-Perv,N.Perv,N_Perv
subarea,S-Imperv,S.Imprv,S_Imperv
subarea,S-Perv,S.Perv,S_Perv
subarea,PctZero,PctZero,Pct_Zero
subarea,RouteTo,RouteTo,RouteTo
subarea,PctRouted,PctRotd,PctRouted
infiltration_Horton,MaxRate,MaxRate,MaxRate
infiltration_Horton,MinRate,MinRate,MinRate
infiltration_Horton,Decay,Decay,Decay
infiltration_Horton,DryTime,DryTime,DryTime
infiltration_Horton,MaxInfil,MaxInfl,MaxInfl
junction,Name,Name,Name
junction,Elevation,Elevation,Bottom
junction,MaxDepth,MaxDepth,Ymax
junction,InitDepth,InitDepth,Y
junction,SurDepth,SurDepth,Ysur
junction,Aponded,Aponded,Apond
outfalls,Name,Name,Name
outfalls,Elevation,Elevation,Bottom
outfalls,Type,Type,Type
outfalls,Stage Data,Stage.Data,StageData
outfalls,Gated,Gated,Gated
outfalls,Route To,RouteTo,RouteTo
conduit,Name,Name,Name
conduit,From_Node,From.Node,FromNode
conduit,To_Node,To.Node,ToNode
conduit,Length,Length,Length
conduit,Roughness,Roughness,Roughness
conduit,InOffset,InOffset,InOffset
conduit,OutOffset,OutOffset,OutOffset
conduit,InitFlow,InitFlow,InitFlow
conduit,MaxFlow,MaxFlow,MaxFlow
xsection,Shape,Shape,Shape
xsection,Geom1,Geom1,Geom1
xsection,Geom2,Geom2,Geom2
xsection,Geom3,Geom3,Geom3
xsection,Geom4,Geom4,Geom4
xsection,Barrels,Barrels,Barrels
xsection,Culvert,Culvert,Culvert
pump,Name,Name,Name
pump,From Node,From.Node,FromNode
pump,To Node,To.Node,ToNode
pump,Pump Curve,Pump.Curve,Pcurve
pump,Status,Status,status
pump,Sartup,Sartup,Startup
pump,Shutoff,Shutoff,Shutoff
weir,Name,Name,Name
weir,From_Node,From.Node,FromNode
weir,To_Node,To.Node,ToNode
weir,Type,Type,Type
weir,CrestHt,CrestHt,CrestHt
weir,Qcoeff,Qcoeff,Cd
weir,Gated,Gated,Gated
weir,EndCon,EndCon,EC
weir,EndCoeff,EndCoeff,Cd2
weir,Surcharge,Surcharge,Sur
weir,RoadWidth,RoadWidth,RoadWidth
weir,RoadSurf,RoadSurf,RoadSurf
storage,Name,Name,Name
storage,Elev.,Elev_,Elev
storage,MaxDepth,MaxDpth,Ymax
storage,InitDepth,IntDpth,Y0
storage,Shape_1,Shape,Shape
storage,Curve Name/Params,CrvNm.P,Curve_Name
storage,N/A,N.A,N_A
storage,Fevap,Fevap,Fevap
storage,Psi,Psi,Psi
storage,Ksat,Ksat,Ksat
storage,IMD,IMD,IMD
