type,section
input,aquifers
input,backdrop
input,buildup
input,conduits
input,controls
input,coordinates
input,coverages
input,curves
input,dividers
input,dwf
input,evaporation
input,events
input,files
input,groundwater
input,hydrographs
input,iiflows
input,infiltration
input,inflows
input,junctions
input,labels
input,landuses
input,lid_controls
input,lid_usage
input,loadings
input,losses
input,map
input,options
input,orifices
input,outfalls
input,outlets
input,patterns
input,pollutants
input,polygons
input,profiles
input,pumps
input,raingages
input,report
input,snowpacks
input,storage
input,subareas
input,subcatchments
input,symbols
input,tags
input,temperature
input,timeseries
input,title
input,treatment
input,vertices
input,washoff
input,weirs
input,xsections
report,Element Count
report,Pollutant Summary
report,Landuse Summary
report,Raingage Summary
report,Subcatchment Summary
report,Node Summary
report,Link Summary
report,Cross Section Summary
report,Analysis Options
report,Runoff Quantity Continuity
report,Runoff Quality Continuity
report,Groundwater Continuity
report,Flow Routing Continuity
report,Quality Routing Continuity
report,Highest Continuity Errors
report,Time-Step Critical Elements
report,Highest Flow Instability Indexes
report,Routing Time Step Summary
report,Subcatchment Runoff Summary
report,LID Performance Summary
report,Subcatchment Washoff Summary
report,Node Depth Summary
report,Node Inflow Summary
report,Node Flooding Summary
report,Outfall Loading Summary
report,Link Flow Summary
report,Conduit Surcharge Summary
report,Link Pollutant Load Summary
report,Pumping Summary
report,Groundwater Summary
report,LID Control Summary
report,Node Surcharge Summary
report,Storage Volume Summary
report,Flow Classification Summary
